2026年广州市普通高中名额分配结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,"名额
考生",,,省市名额,,,"区属
名额",,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,"__
中",,四中,,,南海中学,,,西外,,真光本部,,真光汾水,,真光广钢
5 ,010406,广州市第十六中学,,467 ,467 ,,24 ,24 ,122 ,122 ,122 ,,0 ,0 ,0 ,0 ,3 ,0 ,,1 ,2 ,2 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,3 ,3 ,0 ,2 ,,3 ,,0 ,   1 ,   1 ,2 ,2 ,   1 ,   1 ,0 ,0 ,1 ,1 ,2 ,2 ,9 ,9 ,18 ,18 ,16 ,16 ,7 ,7 ,11 ,11 ,11 ,7 ,7 ,7 ,17 ,17 ,13 ,13 ,14 ,14 ,10 
6 ,010407,广州市第十七中学,,343 ,343 ,,18 ,18 ,90 ,90 ,90 ,,2 ,2 ,0 ,0 ,0 ,0 ,,1 ,5 ,5 ,1 ,1 ,0 ,0 ,3 ,3 ,1 ,1 ,1 ,1 ,0 ,0 ,,0 ,,0 ,   1 ,   1 ,0 ,0 ,   1 ,   1 ,1 ,1 ,1 ,1 ,0 ,0 ,5 ,5 ,16 ,16 ,11 ,11 ,7 ,7 ,15 ,15 ,15 ,5 ,5 ,5 ,5 ,5 ,6 ,6 ,9 ,9 ,11 
7 ,010408,广东实验中学越秀学校,,467 ,467 ,,24 ,24 ,122 ,122 ,122 ,,1 ,1 ,0 ,0 ,1 ,1 ,,2 ,0 ,0 ,0 ,0 ,1 ,1 ,3 ,3 ,2 ,2 ,1 ,1 ,1 ,1 ,,0 ,,4 ,   1 ,   1 ,0 ,0 ,   1 ,   1 ,2 ,2 ,1 ,1 ,1 ,1 ,15 ,15 ,10 ,10 ,10 ,10 ,12 ,12 ,14 ,14 ,14 ,6 ,6 ,6 ,2 ,2 ,14 ,14 ,21 ,21 ,18 
8 ,010412,广州市第三中学实验学校,,232 ,232 ,,12 ,12 ,61 ,61 ,61 ,,1 ,1 ,2 ,2 ,1 ,0 ,,0 ,0 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,2 ,2 ,1 ,1 ,1 ,0 ,,0 ,,0 ,   0 ,   0 ,0 ,0 ,   0 ,   0 ,0 ,0 ,1 ,1 ,0 ,0 ,6 ,6 ,5 ,5 ,3 ,3 ,6 ,6 ,8 ,8 ,8 ,5 ,5 ,5 ,6 ,6 ,5 ,5 ,12 ,12 ,5 
9 ,010413,广州市第十六中学东华实验学校,,313 ,313 ,,16 ,16 ,82 ,82 ,82 ,,0 ,0 ,1 ,1 ,0 ,0 ,,0 ,1 ,1 ,2 ,2 ,0 ,0 ,1 ,1 ,2 ,2 ,0 ,0 ,1 ,1 ,,0 ,,0 ,   1 ,   1 ,2 ,2 ,   0 ,   0 ,2 ,2 ,1 ,1 ,1 ,1 ,9 ,9 ,10 ,10 ,11 ,11 ,3 ,3 ,13 ,13 ,13 ,4 ,4 ,4 ,6 ,6 ,14 ,14 ,5 ,5 ,7 
10 ,010417,广州市培正中学,,470 ,470 ,,24 ,24 ,123 ,123 ,123 ,,1 ,1 ,1 ,1 ,2 ,1 ,,2 ,1 ,1 ,0 ,0 ,2 ,2 ,4 ,4 ,0 ,0 ,2 ,2 ,1 ,0 ,,0 ,,1 ,   1 ,   1 ,0 ,0 ,   3 ,   3 ,1 ,1 ,1 ,1 ,0 ,0 ,14 ,14 ,14 ,14 ,10 ,10 ,7 ,7 ,15 ,15 ,15 ,9 ,9 ,9 ,13 ,13 ,10 ,10 ,16 ,16 ,15 
11 ,010418,广州市育才中学,,505 ,505 ,,26 ,26 ,132 ,132 ,132 ,,1 ,1 ,2 ,2 ,1 ,1 ,,2 ,2 ,2 ,0 ,0 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,0 ,,1 ,,2 ,   1 ,   1 ,1 ,1 ,   1 ,   1 ,0 ,0 ,1 ,1 ,3 ,3 ,23 ,23 ,11 ,11 ,15 ,15 ,6 ,6 ,14 ,14 ,14 ,7 ,7 ,7 ,12 ,12 ,15 ,15 ,17 ,17 ,12 
12 ,010419,广州市第十六中学实验学校,,449 ,449 ,,23 ,23 ,118 ,118 ,118 ,,1 ,1 ,1 ,1 ,3 ,1 ,,0 ,0 ,0 ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,0 ,0 ,2 ,0 ,,0 ,,2 ,   0 ,   0 ,3 ,3 ,   2 ,   2 ,0 ,0 ,0 ,0 ,1 ,1 ,10 ,10 ,10 ,10 ,13 ,13 ,9 ,9 ,13 ,13 ,13 ,9 ,9 ,9 ,12 ,12 ,12 ,12 ,15 ,15 ,15 
13 ,010421,广州市知用学校,,351 ,351 ,,18 ,18 ,92 ,92 ,92 ,,2 ,2 ,2 ,2 ,0 ,1 ,,1 ,2 ,2 ,2 ,2 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,,1 ,,2 ,   0 ,   0 ,1 ,1 ,   0 ,   0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,14 ,10 ,10 ,3 ,3 ,2 ,2 ,14 ,14 ,14 ,3 ,3 ,3 ,9 ,9 ,8 ,8 ,18 ,18 ,11 
14 ,010422,广州市华侨外国语学校,,282 ,282 ,,15 ,15 ,74 ,74 ,74 ,,0 ,0 ,2 ,2 ,0 ,0 ,,1 ,1 ,1 ,0 ,0 ,3 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,,0 ,,3 ,   1 ,   1 ,1 ,1 ,   0 ,   0 ,2 ,2 ,0 ,0 ,0 ,0 ,8 ,8 ,3 ,3 ,5 ,5 ,5 ,5 ,10 ,10 ,10 ,5 ,5 ,5 ,8 ,8 ,8 ,8 ,13 ,13 ,9 
